"COORDONNÉES","","","ZONE DE CHARGE","","","","","","","","","BORNE DE CHARGE","","","","","","","","","","","","","","","POINT DE CHARGE","","","","","","","","","PRISE","","","","","","",""
"PROJECTION","X","Y","CODE","TYPE EQUIPEMENT","ALIAS","PÉRIMÈTRE","ENTREPRISE","COMMUNE","TYPE","NOM","COMMENTAIRE","TYPE EQUIPEMENT","MODELE IRVE","CODE","ALIAS","PÉRIMÈTRE","VERSION FIRMWARE","NUMÉRO ICCID SIM","DATE INSTALLATION","MARQUE","MODELE","DERNIERE INTERVENTION","DATE CREATION","EQUIPEMENT PRIORITAIRE","COMMENTAIRE","OPTIONS","CHARGEBOXID","PUISSANCE MAXIMALE (W)","CODE D'OPÉRATION","CODE DU POINT DE CHARGE","CODE","DATE INSTALLATION","DATE INTERVENTION","NOMBRE DE CONNECTEURS","COMMENTAIRE","CODE","CONNECTOR_ID","TYPE","ALIMENTATION","TYPE DE PRISE","INTENSITÉ MAX (A)","ID DU POINT DE CHARGE","COMMENTAIRE"
"WGS_84","-0.28","49.26","FR*SOD*S*SDEC*102*1*_*_","Zone de charge","ST AUBIN D'ARQUENAY - Rue du Caprice","Global","","","","","14970","Borne de charge","","FR*SOD*S*SDEC*102*1*_*_","TXRA - ST AUBIN D'ARQUENAY - Rue du Caprice","Global","3.18a-rc23-tcp","000089417347","3/29/2017","E-TOTEM","E TOTEM 22 KVA","10/29/2025","11/2/2021","Non","14558","Freshmile","ET240","22000","","","FR*SOD*S*SDEC*102*1*_*_-2","","","2","TXRA2","FR*SOD*S*SDEC*102*1*_*_-2-EF","2","EF","","","","2","T2, EF"
"WGS_84","-0.28","49.26","FR*SOD*S*SDEC*102*1*_*_","Zone de charge","ST AUBIN D'ARQUENAY - Rue du Caprice","Global","","","","","14970","Borne de charge","","FR*SOD*S*SDEC*102*1*_*_","TXRA - ST AUBIN D'ARQUENAY - Rue du Caprice","Global","3.18a-rc23-tcp","000089417347","3/29/2017","E-TOTEM","E TOTEM 22 KVA","10/29/2025","11/2/2021","Non","14558","Freshmile","ET240","22000","","","FR*SOD*S*SDEC*102*1*_*_-2","","","2","TXRA2","FR*SOD*S*SDEC*102*1*_*_-2-T2","2","T2","","","","2","T2, EF"
"WGS_84","-0.48","49.21","FR*SOD*S*SDEC*170*1*_*_","Zone de charge","ROTS - Rue Haute Bonny","Global","Citeos Caen","","","","14980","Borne de charge","","FR*SOD*S*SDEC*170*1*_*_","SMEH - ROTS - Rue Haute Bonny","Global","3.18a-rc23-tcp","000089417408","3/3/2017","E-TOTEM","E TOTEM 22 KVA","9/22/2025","11/2/2021","Non","14543","Freshmile","ET247","22000","","","FR*SOD*S*SDEC*170*1*_*_-2","","","2","SMEH2","FR*SOD*S*SDEC*170*1*_*_-2-T2","2","T2","","","","2","T2, EF"
"WGS_84","-0.48","49.21","FR*SOD*S*SDEC*170*1*_*_","Zone de charge","ROTS - Rue Haute Bonny","Global","Citeos Caen","","","","14980","Borne de charge","","FR*SOD*S*SDEC*170*1*_*_","SMEH - ROTS - Rue Haute Bonny","Global","3.18a-rc23-tcp","000089417408","3/3/2017","E-TOTEM","E TOTEM 22 KVA","9/22/2025","11/2/2021","Non","14543","Freshmile","ET247","22000","","","FR*SOD*S*SDEC*170*1*_*_-2","","","2","SMEH2","FR*SOD*S*SDEC*170*1*_*_-2-EF","2","EF","","","","2","T2, EF"
"WGS_84","-0.48","49.21","FR*SOD*S*SDEC*170*1*_*_","Zone de charge","ROTS - Rue Haute Bonny","Global","Citeos Caen","","","","14980","Borne de charge","","FR*SOD*S*SDEC*170*1*_*_","SMEH - ROTS - Rue Haute Bonny","Global","3.18a-rc23-tcp","000089417408","3/3/2017","E-TOTEM","E TOTEM 22 KVA","9/22/2025","11/2/2021","Non","14543","Freshmile","ET247","22000","","","FR*SOD*S*SDEC*170*1*_*_-1","","","2","SMEH1","FR*SOD*S*SDEC*170*1*_*_-1-EF","1","EF","","","","1","T2, EF"
"WGS_84","-0.48","49.21","FR*SOD*S*SDEC*170*1*_*_","Zone de charge","ROTS - Rue Haute Bonny","Global","Citeos Caen","","","","14980","Borne de charge","","FR*SOD*S*SDEC*170*1*_*_","SMEH - ROTS - Rue Haute Bonny","Global","3.18a-rc23-tcp","000089417408","3/3/2017","E-TOTEM","E TOTEM 22 KVA","9/22/2025","11/2/2021","Non","14543","Freshmile","ET247","22000","","","FR*SOD*S*SDEC*170*1*_*_-1","","","2","SMEH1","FR*SOD*S*SDEC*170*1*_*_-1-T2","1","T2","","","","1","T2, EF"
"WGS_84","-0.37","49.33","FR*SOD*S*SDEC*107*1*_*_","Zone de charge","LANGRUNE SUR MER - D514 - Rue du général Leclerc","Global","Citeos Caen","","","","14830","Borne de charge","","FR*SOD*S*SDEC*107*1*_*_","MZGZ - LANGRUNE SUR MER - D514 - Rue du général Leclerc","Global","3.18a-rc23-tcp","000089417404","4/27/2017","E-TOTEM","E TOTEM 22 KVA","12/2/2025","11/2/2021","Non","14354","Freshmile","ET237","22000","","","FR*SOD*S*SDEC*107*1*_*_-1","","","2","MZGZ1","FR*SOD*S*SDEC*107*1*_*_-1-EF","1","EF","","","","1","T2, EF"
"WGS_84","-0.37","49.33","FR*SOD*S*SDEC*107*1*_*_","Zone de charge","LANGRUNE SUR MER - D514 - Rue du général Leclerc","Global","Citeos Caen","","","","14830","Borne de charge","","FR*SOD*S*SDEC*107*1*_*_","MZGZ - LANGRUNE SUR MER - D514 - Rue du général Leclerc","Global","3.18a-rc23-tcp","000089417404","4/27/2017","E-TOTEM","E TOTEM 22 KVA","12/2/2025","11/2/2021","Non","14354","Freshmile","ET237","22000","","","FR*SOD*S*SDEC*107*1*_*_-1","","","2","MZGZ1","FR*SOD*S*SDEC*107*1*_*_-1-T2","1","T2","","","","1","T2, EF"
"WGS_84","-0.37","49.33","FR*SOD*S*SDEC*107*1*_*_","Zone de charge","LANGRUNE SUR MER - D514 - Rue du général Leclerc","Global","Citeos Caen","","","","14830","Borne de charge","","FR*SOD*S*SDEC*107*1*_*_","MZGZ - LANGRUNE SUR MER - D514 - Rue du général Leclerc","Global","3.18a-rc23-tcp","000089417404","4/27/2017","E-TOTEM","E TOTEM 22 KVA","12/2/2025","11/2/2021","Non","14354","Freshmile","ET237","22000","","","FR*SOD*S*SDEC*107*1*_*_-2","","","2","MZGZ2","FR*SOD*S*SDEC*107*1*_*_-2-T2","2","T2","","","","2","T2, EF"
"WGS_84","-0.37","49.33","FR*SOD*S*SDEC*107*1*_*_","Zone de charge","LANGRUNE SUR MER - D514 - Rue du général Leclerc","Global","Citeos Caen","","","","14830","Borne de charge","","FR*SOD*S*SDEC*107*1*_*_","MZGZ - LANGRUNE SUR MER - D514 - Rue du général Leclerc","Global","3.18a-rc23-tcp","000089417404","4/27/2017","E-TOTEM","E TOTEM 22 KVA","12/2/2025","11/2/2021","Non","14354","Freshmile","ET237","22000","","","FR*SOD*S*SDEC*107*1*_*_-2","","","2","MZGZ2","FR*SOD*S*SDEC*107*1*_*_-2-EF","2","EF","","","","2","T2, EF"
